Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Subnautica 2,$80.97,0%,Very Positive,"Multiplayer, Survival, Horror, Underwater, Exploration, Co-op, Open World, Survival Horror, First-Person, Adventure, Atmospheric, Early Access, Psychological Horror, Sci-fi, Singleplayer, 3D, Sandbox, Action, Base Building, Casual","May 14, 2026",Unknown Worlds Entertainment
Magic: The Gathering Arena,Free To Play,0%,Mixed,"Strategy, Card Game, Free to Play, Trading Card Game, Deckbuilding, PvP, Multiplayer, Turn-Based Strategy, Fantasy, Magic, eSports, Tactical, Gambling, Card Battler, Turn-Based, Singleplayer, Competitive","May 23, 2023",Wizards of the Coast
The Elder Scrolls® Online,$132.24,0%,Mixed,"RPG, MMORPG, Open World, Fantasy, Adventure, Multiplayer, Exploration, Singleplayer, Massively Multiplayer, Action, Character Customization, PvP, PvE, Lore-Rich, Story Rich, Choose Your Own Adventure, Class-Based, Magic, Action RPG, Atmospheric","Apr 4, 2014",Bethesda Softworks
VRChat,Free To Play,0%,Mostly Positive,"VR, Free to Play, Multiplayer, Anime, Memes, Funny, Massively Multiplayer, First-Person, Open World, Early Access, Simulation, Casual, Adventure, Sandbox, Comedy, MMORPG, Dating Sim, Survival Horror, Action, Atmospheric","Feb 1, 2017",VRChat Inc.
Escape from Tarkov,$81.99,0%,Mixed,"Psychological Horror, Extraction Shooter, Gun Customization, Shooter, Looter Shooter, Tactical, FPS, Survival Horror, Realistic, Military, Multiplayer, First-Person, PvE, PvP, Survival, Online Co-Op, Action, Simulation, War, Massively Multiplayer","Nov 15, 2025",Battlestate Games
Black Desert,$39.98,0%,Mixed,"Sandbox, Action RPG, Exploration, MMORPG, War, Medieval, Crafting, PvP, First-Person, Action-Adventure, Character Customization, Open World, RPG, Strategy, 3D, Cooking, Fantasy, Action, Magic, Cinematic","May 24, 2017",Pearl Abyss
Heartopia,Free To Play,0%,Mostly Positive,"Free to Play, Multiplayer, Cute, Artificial Intelligence, Life Sim, Casual, Relaxing, Character Customization, Simulation, City Builder, Cozy, Immersive Sim, Cartoony, Third Person, 3D Platformer, Nature, Funny, Singleplayer, Realistic, Atmospheric","Jan 16, 2026",XD
ICARUS,$6.99,-80%,Mostly Positive,"Survival, Open World Survival Craft, Multiplayer, Base Building, Online Co-Op, Crafting, Open World, Exploration, Building, Co-op, PvE, First-Person, Space, Realistic, Sandbox, Third Person, Mining, Adventure, Nature, Science","Dec 3, 2021",RocketWerkz
Slay the Spire 2,$28.11,-38%,Mixed,"Roguelike, Card Game, Deckbuilding, Co-op, Strategy, Roguelike Deckbuilder, Multiplayer, Political, Turn-Based Combat, Card Battler, Indie, Difficult, Roguelite, Early Access, 2D, Singleplayer, Replay Value, Dungeon Crawler, Fantasy, Procedural Generation","Mar 5, 2026",Mega Crit
Call of Duty®: Black Ops III,$792.38,0%,Very Positive,"Multiplayer, Zombies, FPS, Shooter, Action, First-Person, Singleplayer, Co-op, Futuristic, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Parkour, Split Screen, Quick-Time Events, Simulation","Nov 5, 2015","Activision, Aspyr (Mac)"
